NAIFID;en_EN;ru_RU Russian_Russia;
10;Sun;Солнце;
1;Mercury;Меркурий;
2;Venus;Венера;
3;Eath;Земля;
4;Mars;Марс;
5;Jupiter;Юпитер;
6;Saturn;Сатурн;
7;Uranus;Уран;
8;Neptune;Нептун;
9;Pluto;Плутон;
-3;Moon;Луна;
301;Moon (geocentric);Луна (геоцентрические);
2000001;Ceres;Церера;
2000002;Pallas;Паллада;
2000004;Vesta;Веста;
2136199;Erida;Эрида;
2136108;Haumea;Хаумеа;
2136472;Makemake;Макемаке;
2090377;Sedna;Седна;
2000324;Bamberga;Бамберга;
2000007;Iris;Ирида;
1800303;Lunar physical libration;Физическая либрация Луны;
2000010;Hygiea;Гигея;
2000511;Davida;Давида;
2000704;Interamnia;Интерамния;
2000052;Europa;Европа;
2000087;Sylvia;Сильвия;
2000015;Eunomia;Евномия;
2000003;Juno;Юнона;
2000016;Psyche;Психея;
2000107;Camilla;Камилла;
2000088;Thisbe;Фисба;
2000031;Euphrosyne;Евфросина;
2000065;Cybele;Кибела;
2000209;Dido;Дидона;
2000094;Aurora;Аврора;
2000048;Doris;Дорида;
2000154;Bertha;Берта;
2000029;Amphitrite;Амфитрита;
2000375;Ursula;Урсула;
2000532;Herculina;Геркулина;
2000566;Stereoskopia;Стереоскопия;
2000386;Siegena;Зигена;
2000702;Alauda;Алауда;
2000039;Laetitia;Летиция;
2000009;Metis;Метида;
2000006;Hebe;Геба;
2000130;Elektra;Электра;
2000024;Themis;Фемида;
2000451;Patientia;Пациенция;
2000019;Fortuna;Фортуна;
2000372;Palma;Пальма;
2000041;Daphne;Дафна;
2000014;Irene;Ирена;
2000423;Diotima;Диотима;
2000013;Egeria;Эгерия;
2000069;Hesperia;Гесперия;
2000011;Parthenope;Парфенопа;
2000471;Papagena;Папагена;
2000120;Lachesis;Лахесис;
2000047;Aglaja;Аглая;
2000096;Aegle;Эгла;
2000476;Hedwig;Гедвиг;
2000409;Aspasia;Аспасия;
2000139;Juewa;Жуйхуа;
2000747;Winchester;Уинчестер;
2000022;Kalliope;Каллиопа;
2000117;Lomia;Ломия;
2000596;Scheila;Шейла;
2000128;Nemesis;Немезида;
2000085;Io;Ио;
2000046;Hestia;Гестия;
2000168;Sibylla;Сибилла;
2000241;Germania;Германия;
2000045;Eugenia;Евгения;
2000049;Pales;Палес;
2000488;Kreusa;Креуса;
2000349;Dembowska;Дембовска;
2000146;Lucina;Луцина;
2000247;Eukrate;Эвкрата;
2000076;Freia;Фрея;
2000196;Philomela;Филомела;
2000187;Lamberta;Ламберта;
2000354;Eleonora;Элеонора;
2000776;Berbericia;Бербериция;
2000059;Elpis;Элпида;
2000093;Minerva;Минерва;
2000008;Flora;Флора;
2000020;Massalia;Массалия;
2000089;Julia;Юлия;
2000780;Armenia;Армения;
2000051;Nemausa;Немауза;
2000227;Philosophia;Философия;
2000203;Pompeja;Помпея;
2000181;Eucharis;Эвхарида;
2000790;Pretoria;Претория;
2000036;Atalante;Аталанта;
2000328;Gudrun;Гудрун;
2000018;Melpomene;Мельпомена;
2000250;Bettina;Беттина;
2000095;Arethusa;Аретуса;
2000259;Aletheia;Алетейя;
2000381;Myrrha;Мирра;
2000212;Medea;Медея;
2000104;Klymene;Климена;
2000056;Melete;Мелета;
2000444;Gyptis;Гиптида;
2000216;Kleopatra;Клеопатра;
2000762;Pulcova;Пулкова;
2000144;Vibilia;Вибилия;
2000705;Erminia;Эрминия;
2000268;Adorea;Адорея;
2000283;Emma;Эмма;
2000040;Harmonia;Гармония;
2000469;Argentina;Аргентина;
2000173;Ino;Ино;
2000387;Aquitania;Аквитания;
2000028;Bellona;Беллона;
2000393;Lampetia;Лампеция;
2000140;Siwa;Жива;
2000012;Victoria;Виктория;
2000426;Hippo;Гиппон;
2000005;Astraea;Астрея;
2000098;Ianthe;Ианта;
2000410;Chloris;Хлорида;
2000034;Circe;Цирцея;
2000145;Adeona;Адеона;
2000171;Ophelia;Офелия;
2000121;Hermione;Гермиона;
2000489;Comacina;Комачина;
2000357;Ninina;Нинина;
2000063;Ausonia;Аузониа;
2000405;Thia;Тейя;
2000156;Xanthippe;Ксантиппа;
2000350;Ornamenta;Орнамента;
2000023;Thalia;Талия;
2000148;Gallia;Галлия;
2000536;Merapi;Мерапи;
2000150;Nuwa;Нюйва;
2000388;Charybdis;Харибда;
2000164;Eva;Ева;
2000230;Athamantis;Афаманта;
2000165;Loreley;Лорелей;
2000090;Antiope;Антиопа;
2000137;Meliboea;Мелибея;
2000508;Princetonia;Принстония;
2000690;Wratislavia;Вратиславия;
2000027;Euterpe;Эвтерпа;
2000054;Alexandra;Александра;
2000804;Hispania;Испания;
2000618;Elfriede;Эльфрида;
2000356;Liguria;Лигурия;
2000143;Adria;Адрия;
2000114;Kassandra;Кассандра;
2000147;Protogeneia;Протогения;
2000127;Johanna;Жанна;
2000194;Prokne;Прокна;
2000037;Fides;Фидес;
2000334;Chicago;Чикаго;
2000419;Aurelia;Аврелия;
2000420;Bertholda;Бертольда;
2000602;Marianna;Марианна;
2000595;Polyxena;Поликсена;
2000363;Padua;Падуя;
2000238;Hypatia;Гипатия;
2000141;Lumen;Люмен;
2000308;Polyxo;Поликсо;
2000791;Ani;Ани;
2000335;Roberta;Роберта;
2000360;Carlova;Карлова;
2000078;Diana;Диана;
2000092;Undina;Ундина;
2000233;Asterope;Астеропа;
2000276;Adelheid;Аделаида;
2000021;Lutetia;Лютеция;
2000663;Gerlinde;Герлинда;
2000786;Bredichina;Бредихина;
2000545;Messalina;Мессалина;
2000159;Aemilia;Эмилия;
2000506;Marion;Марион;
2000074;Galatea;Галатея;
2000895;Helio;Гелио;
2000514;Armida;Армида;
2000042;Isis;Изида;
2000083;Beatrix;Беатрис;
2000654;Zelinda;Зелинда;
2000058;Concordia;Конкордия;
2000026;Proserpina;Прозерпина;
2000788;Hohensteina;Гогенштейна;
2000517;Edith;Эдит;
2000206;Hersilia;Герсилия;
2000772;Tanete;Танета;
2000667;Denise;Дениз;
2000201;Penelope;Пенелопа;
2000266;Aline;Алина;
2000416;Vaticana;Ватикана;
2000498;Tokio;Токио;
2000404;Arsinoe;Арсиноя;
2000554;Peraga;Перага;
2000345;Tercidina;Терцидина;
2000176;Iduna;Идуна;
2000521;Brixia;Бриксия;
2000751;Faina;Фаина;
2000062;Erato;Эрато;
2000072;Feronia;Ферония;
2000200;Dynamene;Динамена;
2001015;Christa;Криста;
2000185;Eunike;Эвника;
2000221;Eos;Эос;
2000135;Hertha;Герта;
2000086;Semele;Семела;
2000490;Veritas;Веритас;
2000481;Emita;Эмита;
2000091;Aegina;Эгина;
2000124;Alkeste;Алькеста;
2000105;Artemis;Артемида;
2000431;Nephele;Нефела;
2001093;Freda;Фреда;
2000129;Antigone;Антигона;
2000163;Erigone;Эригона;
2000017;Thetis;Фетида;
2000344;Desiderata;Дезидерата;
2000071;Niobe;Ниоба;
2001171;Rusthawelia;Руставелия;
2001107;Lictoria;Ликтория;
2000373;Melusina;Мелюзина;
2000103;Hera;Гера;
2000111;Ate;Ата;
2000043;Ariadne;Ариадна;
2000081;Terpsichore;Терпсихора;
2000712;Boliviana;Боливиана;
2000412;Elisabetha;Элизабета;
2000275;Sapientia;Сапиенция;
2000769;Tatjana;Татьяна;
2000303;Josephina;Жозефина;
2000070;Panopaea;Панопея;
2000407;Arachne;Арахна;
2000134;Sophrosyne;Софросина;
2000683;Lanzia;Ланция;
2000709;Fringilla;Фрингилла;
2000739;Mandeville;Мандевиль;
2000068;Leto;Лето;
2000740;Cantabia;Кантабия;
2000773;Irmintraud;Ирминтрауд;
2000455;Bruchsalia;Брухзалия;
2000505;Cava;Кава;
2000449;Hamburga;Гамбурга;
2000362;Havnia;Гафния;
2000110;Lydia;Лидия;
2000713;Luscinia;Люциния;
2000424;Gratia;Грация;
2000346;Hermentaria;Герментария;
2000635;Vundtia;Вундция;
2000675;Ludmilla;Людмила;
2000097;Klotho;Клото;
2000599;Luisa;Луиза;
2000385;Ilmatar;Ильматар;
2000674;Rachele;Рашель;
2000162;Laurentia;Лаврентия;
2000358;Apollonia;Аполлония;
2001467;Mashona;Машона;
